Season,Champions
1893-94,Standard Athletic Club
1894-95,Standard Athletic Club
1895-96,Club Français
1896-97,Standard Athletic Club
1897-98,Standard Athletic Club
1898-99,Le Havre
1899-1900,Le Havre
1900-01,Standard Athletic Club
1901-02,Roubaix
1902-03,Roubaix
1903-04,Roubaix
1904-05,Gallia Club Paris
1905-06,Roubaix
1906-07,RCF Paris
1907-08,Roubaix
1908-09,Helvétique Marseille
1909-10,Tourcoing
1910-11,Helvétique Marseille
1911-12,Saint-Raphaëlois
1912-13,Helvétique Marseille
1913-14,Olympique Lillois
1918-19,Le Havre
1926-27,CA Paris
1927-28,Stade Français
1928-29,Marseille
1932-33,Olympique Lillois
1933-34,Sète
1934-35,Sochaux
1935-36,RCF Paris
1936-37,Marseille
1937-38,Sochaux
1938-39,Sète
1945-46,Lille
1946-47,Roubaix-Tourcoing
1947-48,Marseille
1948-49,Stade Reims
1949-50,Bordeaux
1950-51,Nice
1951-52,Nice
1952-53,Stade Reims
1953-54,Lille
1954-55,Stade Reims
1955-56,Nice
1956-57,Saint-Étienne
1957-58,Stade Reims
1958-59,Nice
1959-60,Stade Reims
1960-61,Monaco
1961-62,Stade Reims
1962-63,Monaco
1963-64,Saint-Étienne
1964-65,Nantes
1965-66,Nantes
1966-67,Saint-Étienne
1967-68,Saint-Étienne
1968-69,Saint-Étienne
1969-70,Saint-Étienne
1970-71,Marseille
1971-72,Marseille
1972-73,Nantes
1973-74,Saint-Étienne
1974-75,Saint-Étienne
1975-76,Saint-Étienne
1976-77,Nantes
1977-78,Monaco
1978-79,Strasbourg
1979-80,Nantes
1980-81,Saint-Étienne
1981-82,Monaco
1982-83,Nantes
1983-84,Bordeaux
1984-85,Bordeaux
1985-86,Paris Saint-Germain
1986-87,Bordeaux
1987-88,Monaco
1988-89,Marseille
1989-90,Marseille
1990-91,Marseille
1991-92,Marseille
1993-94,Paris Saint-Germain
1994-95,Nantes
1995-96,Auxerre
1996-97,Monaco
1997-98,Lens
1998-99,Bordeaux
1999-2000,Monaco
2000-01,Nantes
2001-02,Lyon
2002-03,Lyon
2003-04,Lyon
2004-05,Lyon
2005-06,Lyon
2006-07,Lyon
2007-08,Lyon
2008-09,Bordeaux
2009-10,Marseille
2010-11,Lille
2011-12,Montpellier
