Season,Champions
1903,VfB Leipzig
1905,Union Berlin
1906,VfB Leipzig
1907,Freiburger FC
1908,Viktoria Berlin
1909,Phönix Karlsruhe
1910,Karlsruher FV
1911,Viktoria Berlin
1912,Holstein Kiel
1913,VfB Leipzig
1914,SpVgg Fürth
1920,1. FC Nuremberg
1921,1. FC Nuremberg
1922,Hamburger SV
1923,Hamburger SV
1924,1. FC Nuremberg
1925,1. FC Nuremberg
1926,SpVgg Fürth
1927,1. FC Nuremberg
1928,Hamburger SV
1929,SpVgg Fürth
1930,Hertha BSC
1931,Hertha BSC
1932,Bayern Munich
1933,Fortuna Düsseldorf
1934,Schalke 04
1935,Schalke 04
1936,1. FC Nuremberg
1937,Schalke 04
1938,Hannover 96
1939,Schalke 04
1940,Schalke 04
1941,Rapid Wien
1942,Schalke 04
1943,Dresdner SC
1944,Dresdner SC
1948,1. FC Nuremberg
1949,VfR Mannheim
1950,VfB Stuttgart
1951,Kaiserslautern
1952,VfB Stuttgart
1953,Kaiserslautern
1954,Hannover 96
1955,Rot-Weiss Essen
1956,Borussia Dortmund
1957,Borussia Dortmund
1958,Schalke 04
1959,Eintracht Frankfurt
1960,Hamburger SV
1961,1. FC Nuremberg
1962,FC Köln
1963,Borussia Dortmund
1963-64,FC Köln
1964-65,Werder Bremen
1965-66,TSV 1860 München
1966-67,Eintracht Braunschweig
1967-68,1. FC Nuremberg
1968-69,Bayern Munich
1969-70,Borussia Mönchengladbach
1970-71,Borussia Mönchengladbach
1971-72,Bayern Munich
1972-73,Bayern Munich
1973-74,Bayern Munich
1974-75,Borussia Mönchengladbach
1975-76,Borussia Mönchengladbach
1976-77,Borussia Mönchengladbach
1977-78,FC Köln
1978-79,Hamburger SV
1979-80,Bayern Munich
1980-81,Bayern Munich
1981-82,Hamburger SV
1982-83,Hamburger SV
1983-84,VfB Stuttgart
1984-85,Bayern Munich
1985-86,Bayern Munich
1986-87,Bayern Munich
1987-88,Werder Bremen
1988-89,Bayern Munich
1989-90,Bayern Munich
1990-91,Kaiserslautern
1991-92,VfB Stuttgart
1992-93,Werder Bremen
1993-94,Bayern Munich
1994-95,Borussia Dortmund
1995-96,Borussia Dortmund
1996-97,Bayern Munich
1997-98,Kaiserslautern
1998-99,Bayern Munich
1999-2000,Bayern Munich
2000-01,Bayern Munich
2001-02,Borussia Dortmund
2002-03,Bayern Munich
2003-04,Werder Bremen
2004-05,Bayern Munich
2005-06,Bayern Munich
2006-07,VfB Stuttgart
2007-08,Bayern Munich
2008-09,VfL Wolfsburg
2009-10,Bayern Munich
2010-11,Borussia Dortmund
2011-12,Borussia Dortmund
