Season,Champions
1929-30,Internazionale
1930-31,Juventus
1931-32,Juventus
1932-33,Juventus
1933-34,Juventus
1934-35,Juventus
1935-36,Bologna
1936-37,Bologna
1937-38,Internazionale
1938-39,Bologna
1939-40,Internazionale
1940-41,Bologna
1941-42,Roma
1942-43,Torino
1945-46,Torino
1946-47,Torino
1947-48,Torino
1948-49,Torino
1949-50,Juventus
1950-51,Milan
1951-52,Juventus
1952-53,Internazionale
1953-54,Internazionale
1954-55,Milan
1955-56,Fiorentina
1956-57,Milan
1957-58,Juventus
1958-59,Milan
1959-60,Juventus
1960-61,Juventus
1961-62,Milan
1962-63,Internazionale
1963-64,Bologna
1964-65,Internazionale
1965-66,Internazionale
1966-67,Juventus
1967-68,Milan
1968-69,Fiorentina
1969-70,Cagliari
1970-71,Internazionale
1971-72,Juventus
1972-73,Juventus
1973-74,Lazio
1974-75,Juventus
1975-76,Torino
1976-77,Juventus
1977-78,Juventus
1978-79,Milan
1979-80,Internazionale
1980-81,Juventus
1981-82,Juventus
1982-83,Roma
1983-84,Juventus
1984-85,Verona
1985-86,Juventus
1986-87,Napoli
1987-88,Milan
1988-89,Internazionale
1989-90,Napoli
1990-91,Sampdoria
1991-92,Milan
1992-93,Milan
1993-94,Milan
1994-95,Juventus
1995-96,Milan
1996-97,Juventus
1997-98,Juventus
1998-99,Milan
1999-00,Lazio
2000-01,Roma
2001-02,Juventus
2002-03,Juventus
2003-04,Milan
2005-06,Internazionale
2006-07,Internazionale
2007-08,Internazionale
2008-09,Internazionale
2009-10,Internazionale
2010-11,Milan
2011-12,Juventus
