Season,Champions
1888-89,VV Concordia
1889-90,Koninklijke HFC
1890-91,HVV Den Haag
1891-92,RAP
1892-93,Koninklijke HFC
1893-94,RAP
1894-95,Koninklijke HFC
1895-96,HVV Den Haag
1896-97,RAP
1897-98,RAP
1898-99,RAP
1899-00,HVV
1900-01,HVV
1901-02,HVV
1902-03,HVV
1903-04,HBS Den Haag
1904-05,HVV
1905-06,HBS Den Haag
1906-07,HVV
1907-08,Quick Den Haag
1908-09,Sparta Rotterdam
1909-10,HVV
1910-11,Sparta Rotterdam
1911-12,Sparta Rotterdam
1912-13,Sparta Rotterdam
1913-14,HVV
1914-15,Sparta Rotterdam
1915-16,Willem II
1916-17,Go Ahead
1917-18,Ajax
1918-19,Ajax
1919-20,Be Quick 1887
1920-21,NAC Breda
1921-22,Go Ahead
1922-23,RCH
1923-24,Feyenoord
1924-25,HBS Den Haag
1925-26,Twente
1926-27,Heracles
1927-28,Feyenoord
1928-29,PSV Eindhoven
1929-30,Go Ahead
1930-31,Ajax
1931-32,Ajax
1932-33,Go Ahead
1933-34,Ajax
1934-35,PSV Eindhoven
1935-36,Feyenoord
1936-37,Ajax
1937-38,Feyenoord
1938-39,Ajax
1939-40,Feyenoord
1940-41,Heracles
1941-42,ADO Den Haag
1942-43,ADO Den Haag
1943-44,Volewijckers
1945-46,Haarlem
1946-47,Ajax
1947-48,BVV Den Bosch
1948-49,SVV
1949-50,Limburgia
1950-51,PSV Eindhoven
1951-52,Willem II
1952-53,RCH
1953-54,FC Eindhoven
1954-55,Willem II
1955-56,Rapid JC
1956-57,Ajax
1957-58,D.O.S.
1958-59,Sparta Rotterdam
1959-60,Ajax
1960-61,Feyenoord
1961-62,Feyenoord
1962-63,PSV Eindhoven
1963-64,Door Wilskracht Sterk
1964-65,Feyenoord
1965-66,Ajax
1966-67,Ajax
1967-68,Ajax
1968-69,Feyenoord
1969-70,Ajax
1970-71,Feyenoord
1971-72,Ajax
1972-73,Ajax
1973-74,Feyenoord
1974-75,PSV Eindhoven
1975-76,PSV Eindhoven
1976-77,Ajax
1977-78,PSV Eindhoven
1978-79,Ajax
1979-80,Ajax
1980-81,AZ
1981-82,Ajax
1982-83,Ajax
1983-84,Feyenoord
1984-85,Ajax
1985-86,PSV Eindhoven
1986-87,PSV Eindhoven
1987-88,PSV Eindhoven
1988-89,PSV Eindhoven
1989-90,Ajax
1990-91,PSV Eindhoven
1991-92,PSV Eindhoven
1992-93,Feyenoord
1993-94,Ajax
1994-95,Ajax
1995-96,Ajax
1996-97,PSV Eindhoven
1997-98,Ajax
1998-99,Feyenoord
1999-2000,PSV Eindhoven
2000-01,PSV Eindhoven
2001-02,Ajax
2002-03,PSV Eindhoven
2003-04,Ajax
2004-05,PSV Eindhoven
2005-06,PSV Eindhoven
2006-07,PSV Eindhoven
2007-08,PSV Eindhoven
2008-09,AZ
2009-10,Twente
2010-11,Ajax
2011-12,Ajax
