Season,Champions
1928-29,Barcelona
1929-30,Athletic Bilbao
1930-31,Athletic Bilbao
1931-32,Real Madrid
1932-33,Real Madrid
1933-34,Athletic Bilbao
1934-35,Real Betis
1935-36,Athletic Bilbao
1939-40,Atlético Aviación
1940-41,Atlético Aviación
1941-42,Valencia
1942-43,Athletic Bilbao
1943-44,Valencia
1944-45,Barcelona
1945-46,Sevilla
1946-47,Valencia
1947-48,Barcelona
1948-49,Barcelona
1949-50,Atlético Madrid
1950-51,Atlético Madrid
1951-52,Barcelona
1952-53,Barcelona
1953-54,Real Madrid
1954-55,Real Madrid
1955-56,Athletic Bilbao
1956-57,Real Madrid
1957-58,Real Madrid
1958-59,Barcelona
1959-60,Barcelona
1960-61,Real Madrid
1961-62,Real Madrid
1962-63,Real Madrid
1963-64,Real Madrid
1964-65,Real Madrid
1965-66,Atlético Madrid
1966-67,Real Madrid
1967-68,Real Madrid
1968-69,Real Madrid
1969-70,Atlético Madrid
1971-72,Real Madrid
1972-73,Atlético Madrid
1973-74,Barcelona
1974-75,Real Madrid
1975-76,Real Madrid
1976-77,Atlético Madrid
1977-78,Real Madrid
1978-79,Real Madrid
1979-80,Real Madrid
1980-81,Real Sociedad
1981-82,Real Sociedad
1982-83,Athletic Bilbao
1983-84,Athletic Bilbao
1984-85,Barcelona
1985-86,Real Madrid
1986-87,Real Madrid
1987-88,Real Madrid
1988-89,Real Madrid
1989-90,Real Madrid
1990-91,Barcelona
1991-92,Barcelona
1992-93,Barcelona
1993-94,Barcelona
1994-95,Real Madrid
1995-96,Atlético Madrid
1996-97,Real Madrid
1997-98,Barcelona
1998-99,Barcelona
1999-2000,Deportivo La Coruña
2000-01,Real Madrid
2001-02,Valencia
2002-03,Real Madrid
2003-04,Valencia
2004-05,Barcelona
2005-06,Barcelona
2006-07,Real Madrid
2007-08,Real Madrid
2008-09,Barcelona
2009-10,Barcelona
2010-11,Barcelona
2011-12,Real Madrid
